price,trim,isOneOwner,mileage,year,color,displacement,fuel,region
16.995,55 AMG,t,74.002,2003,other,5.4,Gasoline,WSC
9.995,55 AMG,f,129.672,2005,Silver,5.4,Gasoline,WSC
20.562,55 AMG,f,85.831,2006,Black,5.4,Gasoline,WSC
11.9,55 AMG,f,138.19,2003,Black,5.4,Gasoline,Mtn
21.695,55 AMG,f,71.048,2006,Black,5.4,Gasoline,Mid
4.995,500,f,131.649,2002,Black,5.0,Gasoline,Mid
12.999,500,f,79.858,2003,Black,5.0,Gasoline,Pac
4.995,500,f,112.865,2000,Black,5.0,Gasoline,Mtn
8.996,500,f,107.104,2003,Blue,5.0,Gasoline,ENC
7.0,500,f,98.041,2001,Black,5.0,Gasoline,SoA
10.5,500,f,70.215,2001,Black,5.0,Gasoline,Pac
10.988,500,f,133.331,2002,other,5.0,Gasoline,SoA
8.998,500,f,103.411,2003,Black,5.0,Gasoline,Mid
8.78,500,f,147.045,2004,Black,5.0,Gasoline,SoA
17.481,500,f,67.955,2006,Black,5.0,Gasoline,ESC
19.999,500,f,101.0,2006,Silver,5.0,Gasoline,ESC
11.495,500,f,70.33,2003,Black,5.0,Gasoline,WNC
8.995,500,f,66.174,2000,Silver,5.0,Gasoline,Mid
5.995,500,f,141.499,2002,other,5.0,Gasoline,ENC
12.888,500,f,111.971,2004,Black,5.0,Gasoline,WSC
11.9,500,f,99.331,2003,Black,5.0,Gasoline,ESC
7.8,500,f,99.273,2000,Silver,5.0,Gasoline,ENC
5.995,500,f,149.96,2003,Black,5.0,Gasoline,Mid
9.995,500,f,113.02,2001,Gray,5.0,Gasoline,Pac
11.991,500,f,75.72,2002,Black,5.0,Gasoline,SoA
7.995,500,f,155.229,2002,Black,5.0,Gasoline,SoA
10.5,500,f,107.333,2001,Black,5.0,Gasoline,SoA
9.992,500,f,119.356,2003,Black,5.0,Gasoline,SoA
6.995,500,f,77.985,2000,Black,5.0,Gasoline,SoA
21.988,600,f,7.009,2001,Gray,5.8,Gasoline,Mid
6.992,600,f,179.567,2002,Silver,5.8,Gasoline,SoA
14.977,430,f,90.895,2005,White,4.3,Gasoline,SoA
15.995,430,f,69.903,2006,Black,4.3,Gasoline,New
8.914,430,f,188.321,2003,Silver,4.3,Gasoline,ENC
12.95,430,f,107.48,2006,Blue,4.3,Gasoline,ESC
11.96,430,f,112.732,2004,White,4.3,Gasoline,SoA
12.999,430,f,99.82,2005,Silver,4.3,Gasoline,SoA
13.991,430,f,119.621,2005,Silver,4.3,Gasoline,ENC
10.995,430,f,160.513,2006,Black,4.3,Gasoline,Mid
11.995,430,f,132.277,2004,Black,4.3,Gasoline,ENC
11.95,430,f,71.377,2003,Blue,4.3,Gasoline,SoA
16.499,500,f,73.246,2006,Silver,5.0,Gasoline,ENC
12.995,500,f,109.108,2003,Black,5.0,Gasoline,Mid
29.481,550,f,56.29,2007,Black,5.5,Gasoline,SoA
23.492,550,f,85.201,2007,Black,5.5,Gasoline,SoA
35.822,550,t,16.894,2007,Black,5.5,Gasoline,WSC
49.91,550,f,14.968,2009,Black,5.5,Gasoline,Pac
28.9,550,f,66.4,2007,Silver,5.5,Gasoline,WSC
24.99,550,f,99.676,2007,Gray,5.5,Gasoline,SoA
28.971,550,f,79.852,2007,Silver,5.5,Gasoline,Pac
25.998,550,f,103.557,2007,Black,5.5,Gasoline,SoA
37.991,550,f,70.011,2007,Silver,5.5,Gasoline,SoA
27.495,550,f,109.431,2008,White,5.5,Gasoline,SoA
24.9,550,f,60.0,2007,White,5.5,Gasoline,Pac
36.99,550,f,66.0,2007,Black,5.5,Gasoline,Mid
26.977,550,t,90.0,2007,Black,5.5,Gasoline,SoA
38.89,550,f,22.537,2008,White,5.5,Gasoline,ESC
20.995,550,f,88.984,2007,Black,5.5,Gasoline,Pac
28.981,550,f,60.985,2007,Silver,5.5,Gasoline,Pac
26.5,550,f,62.495,2008,Black,5.5,Gasoline,SoA
28.991,550,f,88.301,2008,Black,5.5,Gasoline,WSC
32.995,550,f,72.0,2008,White,5.5,Gasoline,Pac
27.898,550,f,91.091,2009,Black,5.5,Gasoline,Mtn
24.883,550,f,69.479,2007,Silver,5.5,Gasoline,Pac
31.999,550,f,83.457,2007,Black,5.5,Gasoline,Pac
18.998,550,f,89.511,2007,Silver,5.5,Gasoline,SoA
33.993,550,f,81.476,2009,Black,5.5,Gasoline,ESC
23.9,550,f,109.4,2007,Silver,5.5,Gasoline,SoA
26.9,550,f,121.0,2007,other,5.5,Gasoline,WSC
18.525,550,f,124.873,2007,White,5.5,Gasoline,Mid
27.971,550,f,86.447,2007,Black,5.5,Gasoline,Pac
26.488,550,f,82.289,2008,Silver,5.5,Gasoline,Pac
29.995,550,f,87.839,2007,White,5.5,Gasoline,Pac
21.997,550,f,96.841,2007,Gray,5.5,Gasoline,SoA
26.884,550,f,38.578,2007,Black,5.5,Gasoline,SoA
29.995,550,t,74.0,2007,Black,5.5,Gasoline,Pac
29.994,550,f,67.111,2009,White,5.5,Gasoline,WSC
39.0,550,t,9.239,2009,Black,5.5,Gasoline,WSC
38.895,550,f,70.3,2009,Black,5.5,Gasoline,Pac
28.55,550,f,113.473,2007,Black,5.5,Gasoline,SoA
29.988,550,f,63.748,2008,Black,5.5,Gasoline,WSC
21.885,550,f,102.9,2007,Gray,5.5,Gasoline,Pac
34.999,550,f,62.4,2007,Black,5.5,Gasoline,SoA
30.995,550,f,67.065,2008,Gray,5.5,Gasoline,SoA
40.918,550,f,39.891,2009,Black,5.5,Gasoline,SoA
36.995,550,f,38.314,2007,Black,5.5,Gasoline,Mtn
19.881,550,t,131.621,2007,Black,5.5,Gasoline,SoA
22.999,550,f,109.0,2007,Silver,5.5,Gasoline,SoA
34.999,550,f,55.28,2008,Black,5.5,Gasoline,SoA
27.495,550,f,94.7,2008,Blue,5.5,Gasoline,Pac
28.95,600,t,120.929,2008,Silver,5.5,Gasoline,Mid
49.75,600,f,43.394,2009,Silver,5.5,Gasoline,ENC
34.9,600,f,82.794,2008,Gray,5.5,Gasoline,Mtn
44.695,63 AMG,t,59.597,2008,Black,6.3,Gasoline,Mid
48.995,63 AMG,f,64.677,2008,White,6.3,Gasoline,Pac
46.999,550,f,32.467,2011,White,5.5,Gasoline,SoA
42.625,550,f,28.199,2010,Silver,5.5,Gasoline,ESC
52.888,550,f,30.351,2011,White,5.5,Gasoline,Pac
58.995,550,t,20.425,2011,Black,5.5,Gasoline,SoA
43.981,550,f,40.063,2010,White,5.5,Gasoline,SoA
38.0,550,f,37.274,2010,Silver,5.5,Gasoline,ESC
44.999,550,f,51.066,2011,Black,5.5,Gasoline,SoA
45.9,550,t,27.942,2010,White,5.5,Gasoline,SoA
39.8,550,f,59.037,2010,Black,5.5,Gasoline,SoA
56.995,550,f,28.752,2011,White,5.5,Gasoline,WSC
33.988,550,f,49.394,2010,Black,5.5,Gasoline,SoA
32.907,550,f,65.096,2010,Black,5.5,Gasoline,SoA
56.971,550,f,24.922,2011,Silver,5.5,Gasoline,Pac
45.0,550,f,30.714,2011,Black,5.5,Gasoline,Pac
43.9,550,f,56.801,2010,Black,5.5,Gasoline,Pac
45.994,550,t,44.726,2010,Black,5.5,Gasoline,ESC
38.999,550,t,32.886,2011,Silver,5.5,Gasoline,SoA
46.491,550,f,37.296,2010,Black,5.5,Gasoline,WSC
42.75,550,t,41.272,2010,White,5.5,Gasoline,WSC
42.499,550,t,53.735,2010,Silver,5.5,Gasoline,SoA
51.995,550,t,30.325,2010,Black,5.5,Gasoline,WSC
56.877,550,t,27.481,2011,Silver,5.5,Gasoline,SoA
47.991,550,f,59.478,2011,Black,5.5,Gasoline,SoA
50.0,550,t,31.223,2012,Black,4.6,Gasoline,WSC
67.9,550,t,14.186,2013,Black,4.6,Gasoline,SoA
46.995,550,t,34.842,2012,Black,4.6,Gasoline,ESC
66.899,550,f,9.72,2013,White,4.6,Gasoline,SoA
56.888,550,t,21.171,2013,Silver,4.6,Gasoline,Pac
52.999,550,f,20.464,2013,Gray,4.6,Gasoline,SoA
55.995,550,t,15.2,2012,Silver,4.6,Gasoline,Pac
76.895,550,f,9.018,2013,Black,4.6,Gasoline,Pac
62.9,550,t,18.749,2012,Silver,4.6,Gasoline,SoA
57.99,550,t,15.763,2012,Black,4.6,Gasoline,SoA
75.8,550,t,6.983,2013,Silver,4.6,Gasoline,SoA
52.988,550,f,35.939,2012,White,4.6,Gasoline,SoA
65.99,550,f,15.132,2013,White,4.6,Gasoline,ESC
64.0,63 AMG,f,53.5,2011,Black,5.5,Gasoline,WSC
59.986,63 AMG,f,28.286,2010,Black,6.3,Gasoline,SoA
72.9,63 AMG,f,38.512,2010,White,6.3,Gasoline,Pac
29.833,550,f,56.087,2008,Black,5.5,Gasoline,SoA
43.998,550,f,33.744,2009,Gray,5.5,Gasoline,New
21.9,550,f,107.0,2007,White,5.5,Gasoline,SoA
20.95,550,f,96.772,2007,Silver,5.5,Gasoline,Mid
26.995,550,t,85.543,2008,Blue,5.5,Gasoline,SoA
23.999,550,f,62.72,2007,Gray,5.5,Gasoline,ENC
30.995,550,f,65.875,2008,Gray,5.5,Gasoline,ENC
24.975,550,f,78.591,2009,Black,5.5,Gasoline,Mid
33.9,550,f,61.424,2009,Black,5.5,Gasoline,ENC
28.288,550,f,48.248,2007,Black,5.5,Gasoline,Mtn
29.997,550,t,65.966,2008,White,5.5,Gasoline,Mid
27.995,550,f,92.08,2007,Silver,5.5,Gasoline,SoA
25.95,550,f,80.04,2007,other,5.5,Gasoline,WSC
25.985,550,f,74.912,2007,White,5.5,Gasoline,ENC
28.98,550,f,95.293,2007,White,5.5,Gasoline,SoA
32.9,550,f,39.79,2008,Gray,5.5,Gasoline,Pac
24.432,550,f,82.461,2008,Black,5.5,Gasoline,ENC
24.995,550,f,61.103,2009,other,5.5,Gasoline,ENC
32.5,550,t,42.459,2008,Silver,5.5,Gasoline,Mid
23.139,550,f,95.454,2008,Silver,5.5,Gasoline,ENC
24.975,550,f,101.971,2009,Black,5.5,Gasoline,Mid
34.995,550,f,59.042,2008,White,5.5,Gasoline,Mid
25.98,550,f,108.0,2008,Black,5.5,Gasoline,ESC
29.9,550,f,78.798,2008,Black,5.5,Gasoline,New
30.495,550,f,56.91,2009,Blue,5.5,Gasoline,Mid
33.995,550,f,43.644,2008,Black,5.5,Gasoline,Mid
37.877,550,f,64.459,2009,White,5.5,Gasoline,New
27.789,550,f,83.009,2007,Black,5.5,Gasoline,SoA
26.85,550,f,80.02,2008,Gray,5.5,Gasoline,ESC
31.991,550,f,78.341,2008,Black,5.5,Gasoline,ENC
54.995,350,f,29.108,2012,Black,3.0,Diesel,SoA
39.555,350,f,56.595,2012,Silver,3.0,Diesel,ENC
37.995,350,t,66.689,2012,Black,3.0,Diesel,Mid
46.994,550,f,36.031,2011,Black,5.5,Gasoline,SoA
37.402,550,t,78.376,2011,Black,5.5,Gasoline,SoA
49.9,550,t,35.309,2011,Black,5.5,Gasoline,SoA
37.995,550,f,58.101,2010,Silver,5.5,Gasoline,SoA
43.295,550,f,61.053,2011,Silver,5.5,Gasoline,SoA
47.9,550,f,27.128,2010,Black,5.5,Gasoline,ESC
49.95,550,t,19.488,2011,Black,5.5,Gasoline,SoA
34.89,550,f,57.363,2010,Blue,5.5,Gasoline,Mid
42.995,550,f,53.168,2010,White,5.5,Gasoline,Mid
42.999,550,t,39.315,2011,Gray,5.5,Gasoline,SoA
37.999,550,t,42.571,2011,Silver,5.5,Gasoline,SoA
51.659,550,f,30.948,2011,White,5.5,Gasoline,ENC
51.995,550,f,38.92,2011,Gray,5.5,Gasoline,ESC
36.0,550,t,61.005,2011,White,5.5,Gasoline,Mid
47.995,550,t,8.556,2011,Silver,5.5,Gasoline,WSC
36.99,550,f,65.174,2010,Black,5.5,Gasoline,Mtn
35.49,550,f,47.413,2010,Silver,5.5,Gasoline,Pac
40.935,550,f,49.725,2011,Silver,5.5,Gasoline,SoA
29.995,550,f,75.134,2010,White,5.5,Gasoline,WSC
53.8,550,f,29.15,2011,Silver,5.5,Gasoline,ESC
42.995,550,t,30.49,2011,White,5.5,Gasoline,Mid
48.995,550,f,29.129,2011,Gray,5.5,Gasoline,Mid
72.99,550,f,21.845,2012,Black,4.6,Gasoline,WNC
50.995,550,t,29.301,2013,Gray,4.6,Gasoline,Mid
41.999,550,t,49.079,2012,Black,4.6,Gasoline,SoA
57.9,550,f,35.667,2012,Black,4.6,Gasoline,ENC
63.908,550,t,31.921,2012,Blue,4.6,Gasoline,WNC
63.574,550,t,21.804,2012,Silver,4.6,Gasoline,SoA
58.999,550,f,28.486,2012,Black,4.6,Gasoline,WSC
48.85,550,f,38.564,2012,Black,4.6,Gasoline,WSC
48.995,550,f,26.137,2012,Silver,4.6,Gasoline,Mid
67.995,550,t,28.966,2012,White,4.6,Gasoline,New
49.9,550,f,48.46,2012,Black,4.6,Gasoline,SoA
69.998,550,t,18.018,2012,Silver,4.6,Gasoline,New
56.9,550,f,27.464,2012,Silver,4.6,Gasoline,ENC
46.995,550,f,47.916,2013,Blue,4.6,Gasoline,Mid
49.999,550,t,27.366,2012,Black,4.6,Gasoline,SoA
63.995,550,f,20.397,2012,Black,4.6,Gasoline,Mid
50.999,550,f,21.873,2013,Blue,4.6,Gasoline,SoA
52.995,550,t,21.79,2013,Gray,4.6,Gasoline,WSC
49.999,550,f,24.785,2013,White,4.6,Gasoline,SoA
64.8,550,f,12.488,2013,White,4.6,Gasoline,ESC
33.985,400,f,62.01,2010,Blue,3.5,Hybrid,ENC
59.99,400,f,17.765,2013,Black,3.5,Hybrid,SoA
40.995,400,f,40.428,2010,Black,3.5,Hybrid,SoA
6.998,320,f,82.23,1999,Gray,3.2,Gasoline,Pac
4.995,320,f,134.0,1997,Black,3.2,Gasoline,WSC
9.995,420,f,176.047,1996,Silver,4.2,Gasoline,ESC
4.495,420,f,194.448,1998,Silver,4.2,Gasoline,Pac
7.995,420,f,120.701,1998,Gray,4.2,Gasoline,Pac
3.995,420,f,89.0,1998,Silver,4.2,Gasoline,WNC
4.996,500,f,199.958,1995,Gray,5.0,Gasoline,SoA
3.995,500,f,181.0,1995,White,5.0,Gasoline,SoA
2.999,500,f,207.399,1997,Black,5.0,Gasoline,Mid
7.5,430,f,205.862,2000,other,4.3,Gasoline,Pac
10.95,430,f,109.121,2002,other,4.3,Gasoline,WSC
10.0,430,f,96.584,2002,White,4.3,Gasoline,WSC
10.9,430,f,144.952,2006,Silver,4.3,Gasoline,ESC
6.999,430,f,161.189,2001,Silver,4.3,Gasoline,SoA
8.495,430,f,113.183,2003,Silver,4.3,Gasoline,WSC
12.999,430,f,101.754,2006,Gray,4.3,Gasoline,Pac
8.288,430,f,129.131,2000,White,4.3,Gasoline,Pac
9.5,430,f,73.302,2001,Silver,4.3,Gasoline,SoA
6.995,430,t,136.329,2002,Silver,4.3,Gasoline,WSC
6.988,430,f,167.0,2002,Black,4.3,Gasoline,Mtn
8.795,430,f,96.13,2002,Blue,4.3,Gasoline,Mid
17.995,430,f,84.266,2006,Gray,4.3,Gasoline,Mtn
15.0,430,f,77.675,2006,White,4.3,Gasoline,WSC
10.999,430,f,116.289,2005,Silver,4.3,Gasoline,SoA
8.989,430,f,189.691,2006,Silver,4.3,Gasoline,SoA
8.85,430,t,95.711,2002,Silver,4.3,Gasoline,WSC
9.998,430,f,97.274,2002,Black,4.3,Gasoline,Pac
8.65,430,f,112.835,2000,Black,4.3,Gasoline,SoA
10.9,430,f,64.257,2001,White,4.3,Gasoline,SoA
8.995,430,f,144.5,2002,Silver,4.3,Gasoline,Mtn
9.995,430,f,55.975,2000,White,4.3,Gasoline,Mid
4.999,430,f,174.38,2000,Silver,4.3,Gasoline,SoA
9.994,430,f,102.066,2004,other,4.3,Gasoline,Pac
17.968,430,f,54.928,2006,Gray,4.3,Gasoline,SoA
13.975,55 AMG,f,81.836,2004,Silver,5.4,Gasoline,Pac
13.717,55 AMG,f,99.24,2005,Silver,5.4,Gasoline,Mid
23.99,55 AMG,f,61.797,2005,Black,5.4,Gasoline,Mtn
10.995,55 AMG,f,121.675,2006,Silver,5.4,Gasoline,ENC
4.999,500,f,117.556,2001,Black,5.0,Gasoline,SoA
16.499,500,f,76.149,2006,other,5.0,Gasoline,SoA
5.0,500,f,151.402,2000,Black,5.0,Gasoline,ESC
8.495,500,f,109.16,2000,other,5.0,Gasoline,SoA
7.5,500,f,101.165,2002,Silver,5.0,Gasoline,Mid
7.997,500,f,140.452,2002,Black,5.0,Gasoline,SoA
11.995,500,f,131.543,2003,Silver,5.0,Gasoline,SoA
10.95,500,f,141.141,2006,Silver,5.0,Gasoline,Pac
9.5,500,f,82.982,2001,White,5.0,Gasoline,ESC
8.858,500,f,101.656,2002,Black,5.0,Gasoline,Pac
11.9,500,f,89.814,2003,Black,5.0,Gasoline,SoA
8.894,500,f,71.102,2000,Silver,5.0,Gasoline,SoA
9.0,500,f,154.0,2006,Silver,5.0,Gasoline,SoA
21.995,500,f,60.821,2006,White,5.0,Gasoline,SoA
10.9,500,t,94.249,2001,Silver,5.0,Gasoline,SoA
7.995,500,f,137.917,2004,Blue,5.0,Gasoline,WSC
8.896,500,f,88.502,2001,Silver,5.0,Gasoline,New
9.88,500,f,100.8,2001,Black,5.0,Gasoline,Mid
6.995,500,f,154.025,2000,Silver,5.0,Gasoline,Mtn
12.995,500,f,59.68,2002,Silver,5.0,Gasoline,Mtn
14.995,500,f,125.831,2003,Black,5.0,Gasoline,SoA
19.493,600,f,55.313,2004,Black,5.5,Gasoline,Mid
12.995,600,f,100.102,2003,Gray,5.5,Gasoline,Pac
17.0,600,f,68.782,2005,Black,5.5,Gasoline,SoA
14.95,600,f,83.086,2003,Gray,5.5,Gasoline,Mtn
13.988,600,f,96.258,2003,Blue,5.5,Gasoline,WNC
12.795,600,f,105.258,2001,Silver,5.8,Gasoline,SoA
11.279,600,t,69.869,2002,Black,5.8,Gasoline,WSC
14.995,600,f,88.174,2002,Black,5.8,Gasoline,SoA
9.295,600,f,123.42,2001,Blue,5.8,Gasoline,Mid
10.0,430,f,117.819,2004,Blue,4.3,Gasoline,WNC
14.9,430,f,118.0,2006,Gray,4.3,Gasoline,Mid
12.985,430,f,128.946,2006,Black,4.3,Gasoline,SoA
13.995,430,t,102.215,2006,Silver,4.3,Gasoline,Mid
6.995,430,f,113.378,2003,other,4.3,Gasoline,New
14.995,500,f,75.984,2004,Black,5.0,Gasoline,SoA
13.995,500,f,93.366,2005,Black,5.0,Gasoline,SoA
9.995,500,f,159.644,2004,Black,5.0,Gasoline,Mid
21.995,500,f,63.281,2006,Blue,5.0,Gasoline,WSC
21.95,500,f,48.831,2006,Silver,5.0,Gasoline,WSC
17.499,500,f,61.393,2006,Gray,5.0,Gasoline,SoA
32.991,550,t,30.336,2007,White,5.5,Gasoline,Pac
25.833,550,f,75.875,2007,Silver,5.5,Gasoline,New
24.465,550,f,76.471,2007,Gray,5.5,Gasoline,Pac
37.991,550,f,47.719,2007,other,5.5,Gasoline,SoA
29.888,550,f,41.88,2008,White,5.5,Gasoline,SoA
32.945,550,f,59.025,2008,Blue,5.5,Gasoline,ENC
34.0,550,f,80.835,2009,Black,5.5,Gasoline,WSC
44.999,550,f,41.232,2009,Silver,5.5,Gasoline,Pac
24.0,550,f,99.3,2007,Black,5.5,Gasoline,SoA
27.999,550,f,73.101,2008,Black,5.5,Gasoline,SoA
34.0,550,f,48.564,2008,Gray,5.5,Gasoline,SoA
35.9,550,f,36.194,2009,Black,5.5,Gasoline,SoA
23.999,550,f,92.689,2007,Silver,5.5,Gasoline,Pac
26.991,550,f,82.294,2007,Black,5.5,Gasoline,Mtn
27.966,550,f,57.598,2008,White,5.5,Gasoline,SoA
30.988,550,f,63.078,2008,Black,5.5,Gasoline,Pac
21.5,550,f,86.098,2007,Gray,5.5,Gasoline,ENC
35.888,550,f,30.891,2007,Gray,5.5,Gasoline,Pac
27.927,550,f,85.127,2007,Silver,5.5,Gasoline,SoA
29.989,550,f,57.497,2008,Black,5.5,Gasoline,ESC
34.991,550,f,47.675,2008,Black,5.5,Gasoline,WSC
23.994,550,f,79.738,2008,Gray,5.5,Gasoline,WSC
35.99,550,t,52.897,2008,Silver,5.5,Gasoline,SoA
27.992,550,f,69.124,2007,Gray,5.5,Gasoline,Pac
19.5,550,f,114.912,2007,White,5.5,Gasoline,SoA
30.995,550,f,59.137,2007,Silver,5.5,Gasoline,SoA
26.981,550,f,51.486,2007,other,5.5,Gasoline,Pac
22.999,550,f,84.562,2007,Black,5.5,Gasoline,SoA
28.995,550,t,63.666,2007,Black,5.5,Gasoline,WSC
33.0,550,f,50.513,2007,Blue,5.5,Gasoline,SoA
23.072,550,f,91.711,2008,Gray,5.5,Gasoline,ESC
32.991,550,f,64.491,2008,White,5.5,Gasoline,Pac
27.995,550,f,69.33,2007,Gray,5.5,Gasoline,SoA
21.495,550,f,128.333,2007,White,5.5,Gasoline,SoA
39.8,550,t,35.341,2008,Black,5.5,Gasoline,SoA
23.9,550,f,88.009,2007,Gray,5.5,Gasoline,Pac
34.966,550,f,24.0,2007,White,5.5,Gasoline,SoA
24.0,550,f,99.993,2007,Gray,5.5,Gasoline,Pac
25.995,550,f,73.79,2007,Black,5.5,Gasoline,SoA
28.995,550,f,74.759,2008,Black,5.5,Gasoline,Mtn
29.981,550,f,52.543,2008,Silver,5.5,Gasoline,SoA
29.9,550,f,46.861,2007,Silver,5.5,Gasoline,New
15.991,550,f,149.907,2007,Black,5.5,Gasoline,ENC
32.999,550,f,33.684,2007,White,5.5,Gasoline,SoA
22.9,550,f,102.939,2007,Gray,5.5,Gasoline,Pac
32.999,550,t,50.414,2007,Silver,5.5,Gasoline,Pac
38.995,600,f,39.946,2007,Black,5.5,Gasoline,SoA
30.79,600,f,73.48,2007,Silver,5.5,Gasoline,New
39.988,63 AMG,f,91.145,2008,Black,6.3,Gasoline,Pac
45.997,63 AMG,f,24.651,2008,Black,6.3,Gasoline,Mtn
41.981,63 AMG,f,58.703,2009,Gray,6.3,Gasoline,Mid
34.95,63 AMG,f,85.247,2009,Black,6.3,Gasoline,Mtn
45.995,63 AMG,f,59.275,2008,Black,6.3,Gasoline,Pac
41.98,63 AMG,f,45.873,2008,Black,6.3,Gasoline,Pac
36.888,63 AMG,f,91.697,2008,Black,6.3,Gasoline,Pac
44.888,63 AMG,f,50.475,2009,Black,6.3,Gasoline,Pac
42.98,65 AMG,f,58.142,2007,Black,6.0,Gasoline,WSC
39.999,550,f,41.813,2010,Black,5.5,Gasoline,Pac
40.9,550,t,58.884,2010,Black,5.5,Gasoline,Pac
38.99,550,t,58.178,2010,Black,5.5,Gasoline,Pac
47.838,550,t,23.159,2011,Black,5.5,Gasoline,WSC
38.982,550,t,26.356,2011,Silver,5.5,Gasoline,New
72.887,550,t,24.696,2011,Black,5.5,Gasoline,Mid
47.995,550,f,37.603,2011,White,5.5,Gasoline,WSC
42.7,550,t,25.005,2010,Black,5.5,Gasoline,WSC
46.491,550,f,29.617,2010,White,5.5,Gasoline,Pac
42.995,550,f,58.677,2011,Black,5.5,Gasoline,SoA
45.888,550,f,37.136,2010,White,5.5,Gasoline,WSC
31.998,550,f,92.0,2010,Gray,5.5,Gasoline,SoA
42.777,550,f,22.856,2011,Black,5.5,Gasoline,SoA
67.5,550,t,32.004,2011,Black,5.5,Gasoline,Pac
48.9,550,f,43.233,2011,Silver,5.5,Gasoline,SoA
39.888,550,f,75.145,2010,Blue,5.5,Gasoline,WSC
63.8,550,f,28.942,2011,Silver,5.5,Gasoline,ESC
46.995,550,f,34.118,2011,White,5.5,Gasoline,ESC
37.995,550,t,73.311,2010,Black,5.5,Gasoline,Pac
59.911,550,f,17.066,2013,Black,4.6,Gasoline,SoA
45.9,550,f,47.994,2012,Black,4.6,Gasoline,ESC
64.9,550,f,12.135,2012,Black,4.6,Gasoline,SoA
63.991,550,f,30.508,2013,Gray,4.6,Gasoline,Pac
62.992,550,t,30.767,2012,Black,4.6,Gasoline,WSC
47.85,550,f,24.553,2012,Silver,4.6,Gasoline,Pac
46.887,550,t,18.931,2012,Black,4.6,Gasoline,SoA
77.991,550,f,12.437,2013,Black,4.6,Gasoline,SoA
41.999,550,f,37.032,2012,Black,4.6,Gasoline,SoA
47.998,550,t,21.75,2012,Black,4.6,Gasoline,WSC
58.5,550,f,16.0,2012,Black,4.6,Gasoline,SoA
72.75,550,t,16.197,2013,Blue,4.6,Gasoline,WSC
58.961,550,t,36.233,2012,Black,4.6,Gasoline,SoA
48.95,550,f,33.436,2012,Black,4.6,Gasoline,WSC
39.9,550,t,73.637,2012,Black,4.6,Gasoline,Mid
55.995,550,f,32.124,2012,Black,4.6,Gasoline,WSC
56.9,550,t,19.755,2013,Black,4.6,Gasoline,SoA
71.998,600,t,15.29,2012,Black,5.5,Gasoline,Mid
47.888,63 AMG,f,86.762,2010,Black,6.3,Gasoline,SoA
69.988,63 AMG,f,24.1,2010,Blue,6.3,Gasoline,Mid
25.888,550,t,40.514,2008,Blue,5.5,Gasoline,Mid
28.0,550,f,79.194,2008,Silver,5.5,Gasoline,Pac
29.95,550,f,67.151,2007,Black,5.5,Gasoline,WNC
29.47,550,f,69.938,2009,Black,5.5,Gasoline,SoA
27.95,550,f,79.733,2009,Black,5.5,Gasoline,SoA
32.0,550,f,59.17,2007,Blue,5.5,Gasoline,Mtn
35.0,550,f,62.001,2007,White,5.5,Gasoline,Mid
21.5,550,f,115.0,2007,Gray,5.5,Gasoline,SoA
20.995,550,f,124.035,2007,Black,5.5,Gasoline,SoA
